date,action,price,shares,amount,gain_pct,sell_ratio
2023-05-16,SELL,118.6137924194336,331.76018022315617,39351.333150023325,31.17111050007775,3.0
2023-07-28,SELL,131.5857696533203,321.8073748164615,42345.27109533861,45.51639551662754,3.0
2024-01-19,SELL,145.28228759765625,520.2552559532795,75583.87371959662,60.66292638876948,5.0
2024-03-06,BUY,130.4146270751953,554.542660971252,72320.4743278523,44.22126727400833,
2024-03-18,SELL,146.57252502441406,521.9696262041781,76506.40609879595,62.08975772620893,5.0
2024-04-26,SELL,170.66053771972656,495.8711448939692,84625.63622730122,88.72790250292408,5.0
2024-07-05,SELL,189.38778686523438,753.7241402388332,142746.14682673418,109.43775434158283,8.0
2024-07-25,BUY,166.21607971191406,550.3590631455054,91478.52590996766,83.81292187070368,
2024-09-06,BUY,149.96014404296875,560.0555665412088,83986.01343058614,65.8360147132859,
2024-09-19,SELL,161.32257080078125,488.91211212166485,78872.55882310678,78.40135054310021,5.0
2024-11-07,SELL,179.83876037597656,464.4665065155816,83529.08076792264,98.8777985114766,5.0
2025-01-24,SELL,199.428955078125,705.989089903684,140794.66649604816,120.54195359478155,8.0
2025-02-21,BUY,178.95912170410156,550.2699713189577,98475.83076738182,97.90503489710159,
2025-03-18,BUY,160.22750854492188,563.9261230690413,90356.47770274949,77.19035703856859,
2025-04-08,BUY,144.301513671875,575.2135498527601,83004.18592832582,59.57832060751828,
2025-04-25,SELL,161.51397705078125,490.41420890665626,79208.74928272673,78.613020449753,5.0
2025-06-10,SELL,178.3237762451172,465.8934984613235,83079.8879736719,97.20242715051285,5.0
2025-07-30,SELL,196.2260284423828,708.1581176612116,138959.05493789318,116.99994186839697,8.0
2025-09-03,SELL,230.30325317382812,651.5054682483146,150043.82879812503,154.68482926309463,8.0
2025-09-19,SELL,254.55349731445312,599.3850307884495,152575.55582513098,181.50238048492557,8.0
2025-10-30,SELL,281.2960205078125,551.4342283253735,155116.25399972402,211.07606153242835,8.0
2025-11-24,SELL,318.3717346191406,507.31949005934365,161516.1860562911,252.0768801840165,8.0
