date,action,price,shares,amount,change_pct
2023-07-28,SELL,193.30050659179688,337.1060584752679,65162.77187843319,30.32554375686637
2024-06-12,SELL,211.4347686767578,337.1060584752679,71275.94149325186,42.55188298650372
2024-07-05,SELL,224.60293579101562,337.1060584752679,75715.01040648295,51.43002081296591
2024-12-02,SELL,238.28829956054688,337.1060584752679,80328.42944562987,60.65685889125974
2024-12-20,SELL,253.10736083984375,337.1060584752679,85324.0247837971,70.6480495675942
2025-10-27,SELL,268.2986145019531,337.1060584752679,90445.08842912877,80.89017685825755
2025-12-01,SELL,282.8353576660156,337.1060584752679,95345.51262023317,90.69102524046635
