date,action,price,shares,amount,gain_pct,sell_ratio
2023-05-17,SELL,30.152942657470703,1307.3646486292928,39420.8912825234,31.40297094174468,3.0
2023-05-25,SELL,37.948463439941406,2113.572848617357,80206.84197340859,65.37493190393522,5.0
2023-06-14,SELL,42.96574401855469,2007.894206186489,86270.66847934776,87.23964943971298,5.0
2023-07-18,SELL,47.459468841552734,3051.999193403464,144846.26062377577,106.82277268723155,8.0
2023-08-09,BUY,42.52306365966797,2167.316507343208,92160.93781240447,85.31050060020956,
2023-08-29,SELL,48.748531341552734,2981.2245785186433,145330.3198021234,112.44035516181054,8.0
2023-09-15,BUY,43.87169647216797,2174.539698432661,95400.74561631738,91.18768347702289,
2023-11-10,SELL,48.303836822509766,2916.6897881117643,140887.30758683124,110.50242884969059,8.0
2024-01-10,SELL,54.31973648071289,2683.3546050628233,145759.11503131996,136.71901065914332,8.0
2024-01-23,SELL,59.83966827392578,2468.6862366577975,147725.36547400884,160.77422295678141,8.0
2024-02-02,SELL,66.12316131591797,2271.1913377251735,150178.35120371717,188.15694520014384,8.0
2024-02-14,SELL,73.8588638305664,2089.4960307071597,154327.8028065091,221.86822520002414,8.0
2024-03-01,SELL,82.2331771850586,1922.336348250587,158079.82553496902,258.36249598738175,8.0
2024-03-07,SELL,92.62173461914062,1768.5494403905398,163806.11692868223,303.6346051192947,8.0
2024-04-19,BUY,76.16114807128906,1915.8501079042123,145913.34375048784,231.90130862474794,
2024-05-06,SELL,92.09300994873047,1780.3334937916336,163956.27015581098,301.3304853094533,8.0
2024-05-23,SELL,103.74607849121094,1637.906814288303,169926.40891644353,352.1131848444301,8.0
2024-05-29,SELL,114.76644897460938,1506.8742691452385,172938.6089210088,400.1386607937396,8.0
2024-06-13,SELL,129.55453491210938,1386.3243276136195,179604.6035013252,464.58339671233773,8.0
2024-07-24,BUY,114.20111846923828,1633.2884265731761,186523.36509751907,397.6750170686932,
2024-08-05,BUY,100.40702056884766,1736.941284842638,174401.09931407543,337.5619638863523,
2024-08-13,SELL,116.0903091430664,1545.036758317795,179363.794910514,405.90788740696996,8.0
2024-08-19,SELL,129.94439697265625,1421.4338176523713,184707.360271378,466.28236963167365,8.0
2024-09-03,BUY,107.95378875732422,1703.3222613606672,183880.09158857726,370.44989035640026,
2024-09-06,BUY,102.78600311279297,1743.5857841541742,179216.2138374925,347.9292894785533,
2024-09-11,SELL,116.85997772216797,1583.4717558813688,185044.47411597896,409.2620123785638,8.0
2024-10-08,SELL,132.84449768066406,1456.7940154108594,193527.0692014532,478.92066677538764,8.0
2024-11-07,SELL,148.8290557861328,1340.2504941779907,199468.21556540826,548.5794874122232,8.0
2024-12-16,BUY,131.96389770507812,1576.879645662242,208091.18425339193,475.08311584983807,
2025-01-06,SELL,149.38912963867188,1359.1808262967306,203046.84066203944,551.0202232636605,8.0
2025-01-13,BUY,133.19357299804688,1578.4276106536724,210236.41318173264,480.44189587423875,
2025-01-22,SELL,147.02981567382812,1376.7205690452859,202418.97150109615,540.7386110214801,8.0
2025-01-27,BUY,118.38761138916016,1684.874215283945,199468.23383865185,415.91925988616885,
2025-01-27,BUY,118.38761138916016,1684.874215283945,199468.23383865185,415.91925988616885,
2025-01-28,SELL,128.95472717285156,1536.1627979670939,198095.45450493088,461.9695052647381,8.0
2025-03-03,BUY,114.02880859375,1722.6328514451686,196429.77169474692,396.92411093594956,
2025-04-03,BUY,101.78152465820312,1813.2656786807804,184556.94538652129,343.5518907390848,
2025-04-09,SELL,114.30924987792969,1696.1416565398026,193884.6804457739,398.146241005792,8.0
2025-04-17,BUY,101.4715805053711,1826.2956141053123,185317.10243329333,342.20119064421164,
2025-05-02,SELL,114.4792251586914,1706.553973145043,195364.9765371308,398.886973249821,8.0
2025-05-13,SELL,129.9064178466797,1570.0296552934396,203956.92843222804,466.1168610760483,8.0
2025-06-10,SELL,143.9338836669922,1444.4272828699643,207902.02849803507,527.2469041538226,8.0
2025-07-03,SELL,159.3221435546875,1328.8731002403672,211718.91084245843,594.3071274241327,8.0
2025-07-28,SELL,176.73019409179688,1222.5632522211376,216063.84085454006,670.1693603366958,8.0
2025-10-28,SELL,201.01881408691406,1124.7581920434466,226097.55789911517,776.0163041553852,8.0
2025-11-20,BUY,180.62994384765625,1422.5935289751783,256962.9892568256,687.1640102344,
2026-02-25,SELL,195.55999755859375,1148.5850189979851,224617.2835110833,752.2274249804543,8.0
