ticker,name,final_value,total_return,annualized_return,buy_hold_return,strategy_diff,cash,shares,num_trades,num_buys,num_sells
BRK-B,伯克希尔,1598941.0134560266,0.5989410134560266,0.16934899704797624,0.6261060707490309,-0.027165057293004335,379361.4603942539,2476.228169271797,5,0,5
AAPL,苹果,1687227.6997727356,0.6872276997727356,0.19048674854370362,0.7286629549473514,-0.04143525517461588,563596.7790569569,4382.378760178484,7,0,7
GOOGL,谷歌,2320275.0561573287,1.3202750561573287,0.3238735043725278,2.329047849822349,-1.0087727936650204,2320275.0561573277,2.7284841053187847e-12,20,0,20
META,Meta,2281165.9262718465,1.2811659262718464,0.31639318509004544,2.530182007085061,-1.2490160808132145,2281165.926271846,5.684341886080801e-13,20,0,20
NVDA,英伟达,2703059.484822289,1.703059484822289,0.3930024097168614,6.82087176247631,-5.117812277654021,2312015.896698474,2178.9407188216874,19,0,19
