date,action,price,shares,amount,gain_pct,sell_ratio
2024-09-26,SELL,56.768768310546875,704.8590814224309,40013.981884854875,33.37993961618292,3.0
2024-11-12,BUY,50.593292236328125,790.8950004270159,40013.981884854875,18.870471639449494,
2025-02-10,SELL,56.0055046081543,707.4401589925684,39620.543084451696,31.586628442344534,3.0
2025-02-18,SELL,63.88592529296875,1143.6949237046524,73066.00845374302,50.10191539274666,5.0
2025-04-07,BUY,54.78627014160156,1189.3521407037567,65160.16767408813,28.722000155234774,
2025-05-02,SELL,63.39030456542969,687.5866707327644,43586.32847287976,48.93743949025633,3.0
2025-07-23,SELL,70.3499984741211,1111.5984510179692,78200.9493329495,65.28945100846137,5.0
2025-08-22,SELL,77.87999725341797,1056.0185284670706,82242.72009657395,82.98141108408544,5.0
2025-10-01,SELL,85.7699966430664,1605.1481632699474,137673.55257528758,101.51920349145591,8.0
2025-12-15,BUY,77.1500015258789,1175.2154930659467,90667.87708327432,81.26626402423383,
2026-02-05,BUY,69.86000061035156,1195.406950962698,83511.13032387258,64.13818619460955,
