ticker,name,initial_price,final_price,final_value,total_return,annualized_return,buy_hold_value,buy_hold_return,strategy_diff,cash,shares,num_trades,num_sells,num_buys
NVDA,英伟达,22.946928024291992,180.243896484375,6132565.650577601,5.132565650577601,0.8304058791543225,7854815.96026997,6.85481596026997,-1.7222503096923685,1914291.2493318527,23403.14697763662,47,32,15
GOOGL,谷歌,90.4267578125,301.6700134277344,2965692.5794905955,1.9656925794905955,0.43673071652311024,3336070.2155577396,2.3360702155577395,-0.370377636067144,864574.7238898926,6964.954294683418,22,16,6
AAPL,苹果,148.32125854492188,257.67999267578125,1746558.0686787209,0.7465580686787209,0.20428056173461684,1737309.9123059157,0.7373099123059157,0.009248156372805183,315183.3363690034,5554.853977781291,14,9,5
ROK,罗克韦尔自动化,271.6811828613281,368.0299987792969,1356217.6096150621,0.3562176096150621,0.10690358248087573,1354639.2683631212,0.3546392683631212,0.0015783412519408957,133655.66991734522,3321.9083872314236,2,2,0
