date,action,price,shares,amount,gain_pct,sell_ratio
2024-09-26,SELL,56.768768310546875,1174.7653462865362,66689.98176259974,33.379963525199486,5.0
2024-11-12,BUY,50.593292236328125,1181.9350074887823,59797.98323822663,18.870492947571865,
2025-02-10,SELL,56.0055046081543,1175.1238293466486,65813.40303962566,31.586652029901163,5.0
2025-02-18,SELL,63.88592529296875,1116.3676378793161,71320.17951304598,50.10194229926043,5.0
2025-04-07,BUY,54.78627014160156,1191.9923900997862,65304.817090740195,28.722023229292553,
2025-05-02,SELL,63.39030456542969,1120.1488754903396,71006.5783759562,48.937466188032005,5.0
2025-07-23,SELL,70.3499984741211,1064.1414317158226,74862.34809745716,65.28948063741632,5.0
2025-08-22,SELL,77.87999725341797,1010.9343601300315,78731.5651903127,82.9814438844121,5.0
2025-10-01,SELL,85.7699966430664,960.3876421235299,82372.44484097762,101.51923961477391,5.0
2025-12-15,BUY,77.1500015258789,1162.3317680294904,89673.89767705271,81.26629651711185,
2026-02-05,BUY,69.86000061035156,1182.3512957618675,82599.06224357402,64.13821561719458,
