date,action,price,shares,amount,gain_pct
2023-05-17,SELL,30.152938842773438,2178.9408999352413,65701.47169776505,31.402943395530087
2023-05-25,SELL,37.94845962524414,2069.993854938479,78553.07822863635,65.37490153397127
2023-06-14,SELL,42.96574401855469,1966.494162191555,84491.88478670451,87.23963387635352
2023-07-18,SELL,47.459468841552734,1868.1694540819772,88662.32999674417,106.8227554961229
2023-08-09,BUY,42.5230598449707,2147.9805543190655,91338.70565714297,85.31046857320118
2023-08-29,SELL,48.74853515625,1882.1600090938318,91752.54337299848,112.44035412776825
2023-09-15,BUY,43.87169647216797,2150.2702814466793,94336.00512075191,91.18766758550284
2023-11-10,SELL,48.303836822509766,1895.5655227114746,91563.0876954305,110.50241135272894
2024-01-10,SELL,54.31973648071289,1800.7872465759008,97818.28869183148,136.7189909830594
2024-01-23,SELL,59.83966064453125,1710.7478842471057,102370.57284169663,160.77416803322873
2024-02-02,SELL,66.12315368652344,1625.2104900347504,107464.04300551787,188.15688800053928
2024-02-14,SELL,73.8588638305664,1543.9499655330128,114034.39026551049,221.86819844633757
2024-03-01,SELL,82.23318481445312,1466.7524672563623,120615.72671694754,258.36249944829103
2024-03-07,SELL,92.62174224853516,1393.414843893544,129060.51051639068,303.6346048171863
2024-04-19,BUY,76.16114044189453,1971.3271153689689,150138.52129053086,231.90124778911195
2024-05-06,SELL,92.09300994873047,1422.3104574673152,130984.85110972085,301.3304519508638
2024-05-23,SELL,103.74608612060547,1351.1949345939493,140181.18605010974,352.1131805127822
2024-05-29,SELL,114.76644897460938,1283.6351878642517,147318.25229003577,400.1386192222146
2024-06-13,SELL,129.55455017089844,1219.4534284710392,157985.74037992535,464.58341628016564
2024-07-24,BUY,114.20111846923828,1777.01442139075,202937.03445878995,397.6749757019463
2024-08-05,BUY,100.40702056884766,1849.783221164814,185731.22193540476,337.5619275162024
2024-08-13,SELL,116.0903091430664,1339.8206391752656,155540.1921981174,405.907845355907
2024-08-19,SELL,129.9443817138672,1272.8296072165022,165397.0563368528,466.2822560662845
2024-09-03,BUY,107.95378875732422,1832.1462153123277,197787.1255003581,370.4498512526059
2024-09-06,BUY,102.78599548339844,1858.861050948574,191064.88358706541,347.9292189986717
2024-09-11,SELL,116.8599853515625,1393.7384901687221,162872.2595450257,409.2620032967054
2024-10-08,SELL,132.84449768066406,1324.051565660286,175892.9651434375,478.9206186555024
2024-11-07,SELL,148.8290557861328,1257.8489873772717,187204.47711290262,548.5794335022969
2024-12-16,BUY,131.96389770507812,1756.5235408809003,231797.69286536874,475.0830680489301
2025-01-06,SELL,149.38912963867188,1282.7827150524533,191633.79331721843,551.0201691508602
2025-01-13,BUY,133.19357299804688,1759.9487933679493,234413.86808227847,480.441847627909
2025-01-22,SELL,147.02981567382812,1306.641018968228,192115.18817076154,540.7385577632874
2025-01-27,BUY,118.38761138916016,1832.4471853336372,216939.045268439,415.91921700296047
2025-01-27,BUY,118.38761138916016,1832.4471853336372,216939.045268439,415.91921700296047
2025-01-28,SELL,128.95472717285156,1424.5536865531803,183702.93199254526,461.9694585538333
2025-03-03,BUY,114.02880859375,1857.3625201038908,211792.8352941317,396.924069631618
2025-04-03,BUY,101.78153228759766,1906.8380270101743,194080.89621335507,343.5518871190517
2025-04-09,SELL,114.30924987792969,1541.5360295812245,176211.8272012318,398.146199599877
2025-04-17,BUY,101.4715805053711,1917.7052323236678,194592.58086730243,342.20115388844914
2025-05-02,SELL,114.4792251586914,1560.3444897183467,178627.02816359006,398.8869317823363
2025-05-13,SELL,129.9064178466797,1482.3272652324295,192563.82510280996,466.1168140204154
2025-06-10,SELL,143.9338836669922,1408.2109019708078,202689.26414285638,527.2468520170605
2025-07-03,SELL,159.3221435546875,1337.8003568722675,213141.22050511558,594.307069713325
2025-07-28,SELL,176.73019409179688,1270.910339028654,224608.23088980542,670.1692963202195
2025-10-28,SELL,201.01881408691406,1207.3648220772213,242703.04470422104,776.016231340911
2025-11-20,BUY,180.62994384765625,1694.9599359397646,306160.5180528267,687.1639448053285
2026-02-25,SELL,195.55999755859375,1231.7445777703485,240879.96662158045,752.2273541433117
