date,action,price,shares,amount,change_pct
2023-05-17,SELL,30.152936935424805,2178.940718821691,65701.46208065964,31.40292416131928
2023-05-25,SELL,37.94845962524414,2178.940718821691,82687.44389400538,65.37488778801077
2023-05-30,SELL,40.07769012451172,2178.940718821691,87326.91092861655,74.65382185723311
2023-06-14,SELL,42.96574401855469,2178.940718821691,93619.80915649832,87.23961831299664
2023-06-20,SELL,43.776145935058594,2178.940718821691,95385.62689097982,90.77125378195964
2023-07-13,SELL,45.943580627441406,2178.940718821691,100108.33859759949,100.216677195199
2023-08-29,SELL,48.748531341552734,2178.940718821691,106220.15992286465,112.44031984572929
2024-01-08,SELL,52.223907470703125,2178.940718821691,113792.79848389134,127.58559696778269
2024-01-09,SELL,53.11041259765625,2178.940718821691,115724.4406024537,131.44888120490742
2024-01-16,SELL,56.35060501098633,2178.940718821691,122784.62778867573,145.56925557735147
2024-01-19,SELL,59.45787811279297,2178.940718821691,129555.1916747016,159.1103833494032
2024-01-23,SELL,59.83966064453125,2178.940718821691,130387.07317884098,160.77414635768196
2024-01-29,SELL,62.43022155761719,2178.940718821691,136031.75183695182,172.06350367390365
2024-02-02,SELL,66.1231689453125,2178.940718821691,144078.46527246732,188.15693054493468
2024-02-05,SELL,69.29340362548828,2178.940718821691,150986.218705323,201.97243741064602
2024-02-06,SELL,68.18502044677734,2178.940718821691,148571.11746517272,197.14223493034544
2024-02-09,SELL,72.09284973144531,2178.940718821691,157086.0458157396,214.1720916314792
2024-02-14,SELL,73.85884857177734,2178.940718821691,160934.05259833095,221.8681051966619
2024-02-22,SELL,78.49427032470703,2178.940718821691,171034.36180470127,242.06872360940253
